DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Depth-Averaged Velocity"
TIMEUNITS SECONDS
 -2.11174349e-01   5.44824961e-02   0.00000000e+00
  6.17276942e-02  -2.99789273e-02   0.00000000e+00
TS 0  4.85100000e+00
  1.95846120e-01  -1.08551264e-02   0.00000000e+00
  9.20799584e-02   6.33798883e-02   0.00000000e+00
 -8.45323520e-02   5.57497243e-02   0.00000000e+00
  1.00881818e-01   2.23025712e-02   0.00000000e+00
TS 0  4.90100000e+00
  2.68041566e-01  -4.40110141e-02   0.00000000e+00
  2.27121691e-01   2.21173326e-02   0.00000000e+00
  2.93073902e-02   4.30442270e-02   0.00000000e+00
  1.20559128e-01   6.67666607e-02   0.00000000e+00
TS 0  4.95100000e+00
  3.24205844e-01  -8.61869240e-02   0.00000000e+00
  3.50241783e-01  -2.25506547e-02   0.00000000e+00
  1.23184638e-01   2.20809916e-02   0.00000000e+00
  1.21365263e-01   1.03600534e-01   0.00000000e+00
TS 0  5.00000000e+00
  3.60464229e-01  -1.27636387e-01   0.00000000e+00
  4.49563294e-01  -6.06230734e-02   0.00000000e+00
  1.91683512e-01   2.26933396e-03   0.00000000e+00
  1.06635669e-01   1.34800787e-01   0.00000000e+00
ENDDS
