DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Old Depth-Averaged Velocity"
TIMEUNITS SECONDS
 -6.41654250e-02   1.48639955e-01   0.00000000e+00
TS 0  3.05100000e+00
 -3.59731190e-02  -9.71467321e-02   0.00000000e+00
  4.64031744e-02   7.73242268e-02   0.00000000e+00
 -1.47376490e-01   7.61780535e-02   0.00000000e+00
 -1.00747878e-01   5.33556601e-02   0.00000000e+00
TS 0  3.10100000e+00
 -1.55389123e-01  -1.04331905e-01   0.00000000e+00
 -1.13664537e-01   6.02409804e-02   0.00000000e+00
 -2.75597759e-01   3.71921919e-02   0.00000000e+00
 -1.47718180e-01  -5.09519388e-02   0.00000000e+00
TS 0  3.15100000e+00
 -2.61044435e-01  -1.18153400e-01   0.00000000e+00
 -2.58776761e-01   3.46236619e-02   0.00000000e+00
 -3.97288436e-01  -8.57466491e-03   0.00000000e+00
 -1.97909494e-01  -1.52896535e-01   0.00000000e+00
TS 0  3.20100000e+00
 -3.36102192e-01  -1.29543281e-01   0.00000000e+00
 -3.80971408e-01   1.04824772e-02   0.00000000e+00
 -5.08585399e-01  -5.25057295e-02   0.00000000e+00
 -2.41154209e-01  -2.40568058e-01   0.00000000e+00
TS 0  3.25100000e+00
 -3.71669475e-01  -1.30794530e-01   0.00000000e+00
 -4.73463377e-01  -2.83414668e-03   0.00000000e+00
 -6.03184534e-01  -8.65632574e-02   0.00000000e+00
 -2.67250482e-01  -3.03685863e-01   0.00000000e+00
TS 0  3.30100000e+00
 -3.67874406e-01  -1.18482086e-01   0.00000000e+00
 -5.30995901e-01   3.92947818e-04   0.00000000e+00
 -6.71919886e-01  -1.04040856e-01   0.00000000e+00
 -2.68799073e-01  -3.35355833e-01   0.00000000e+00
TS 0  3.35100000e+00
 -3.29880365e-01  -9.35061168e-02   0.00000000e+00
 -5.49815378e-01   2.05687110e-02   0.00000000e+00
 -7.03852082e-01  -1.00543308e-01   0.00000000e+00
 -2.42684750e-01  -3.33241320e-01   0.00000000e+00
TS 0  3.40100000e+00
 -2.64239695e-01  -5.99674968e-02   0.00000000e+00
 -5.27762554e-01   5.26089439e-02   0.00000000e+00
 -6.88599748e-01  -7.56828024e-02   0.00000000e+00
 -1.90519492e-01  -2.99803296e-01   0.00000000e+00
TS 0  3.45100000e+00
 -1.77451703e-01  -2.41377002e-02   0.00000000e+00
 -4.64417457e-01   8.72446619e-02   0.00000000e+00
 -6.20307882e-01  -3.46999133e-02   0.00000000e+00
 -1.18406276e-01  -2.41700551e-01   0.00000000e+00
TS 0  3.50100000e+00
 -7.59779344e-02   6.41431646e-03   0.00000000e+00
 -3.61453723e-01   1.13324560e-01   0.00000000e+00
 -5.02282665e-01   1.16532290e-02   0.00000000e+00
 -3.61668153e-02  -1.68309826e-01   0.00000000e+00
TS 0  3.55100000e+00
  3.33058616e-02   2.39554779e-02   0.00000000e+00
 -2.23699355e-01   1.20824122e-01   0.00000000e+00
 -3.48979310e-01   5.03349936e-02   0.00000000e+00
  4.41504696e-02  -8.95540087e-02   0.00000000e+00
TS 0  3.60100000e+00
  1.42806277e-01   2.23352186e-02   0.00000000e+00
 -6.08625834e-02   1.04018072e-01   0.00000000e+00
 -1.82310096e-01   7.14206241e-02   0.00000000e+00
  1.10753557e-01  -1.38829439e-02   0.00000000e+00
TS 0  3.65100000e+00
