DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
-1.85532882e-01 -7.57788144e-01 -1.36431270e+00
-6.92120763e-01 -2.37196152e-01  1.33353921e-09
-8.48284361e-01  3.09738740e-01 -8.66910841e-01
 2.95079413e-01  2.32142847e-01 -1.06610187e-09
-6.18346086e-01 -1.18651339e-02  5.34479278e-01
-6.18346086e-01 -1.18651339e-02  0.00000000e+00
TS 0  1.15100000e+00
-4.31849382e-01  1.36685537e-01  1.74581413e-01
-4.31849382e-01  1.36685537e-01  0.00000000e+00
-9.85437825e-02 -6.42548430e-01 -1.48064657e+00
-7.34592255e-01 -2.55338028e-01  3.00345416e-10
-8.94799380e-01  2.69873100e-01 -4.35936334e-01
 2.66191128e-01  2.56507165e-01 -1.80415648e-10
-3.11557412e-01  1.44467283e-02  9.91667141e-01
-3.11557412e-01  1.44467283e-02  0.00000000e+00
TS 0  1.20100000e+00
-1.47478128e-01  8.66005979e-02  5.26508216e-01
-1.47478128e-01  8.66005979e-02  0.00000000e+00
-3.47717414e-04 -4.77848222e-01 -1.43895608e+00
-7.47044018e-01 -2.38430285e-01  3.87793871e-09
-8.61059433e-01  2.07665439e-01 -2.64114429e-02
 2.22097524e-01  2.52206621e-01 -3.36745384e-09
-8.84389810e-03  3.84333923e-02  1.20178458e+00
-8.84389810e-03  3.84333923e-02  0.00000000e+00
TS 0  1.25100000e+00
 1.54630754e-01  1.36008210e-02  7.63767554e-01
 1.54630754e-01  1.36008210e-02  0.00000000e+00
 7.97713357e-02 -2.67202482e-01 -1.13804344e+00
-6.71935399e-01 -1.79685051e-01  2.23499488e-08
-6.86472499e-01  1.26790121e-01  3.24974784e-01
 1.59669993e-01  1.98266691e-01 -4.21087396e-08
 2.45795813e-01  5.21543755e-02  1.07514619e+00
 2.45795813e-01  5.21543755e-02  0.00000000e+00
TS 0  1.30100000e+00
 4.35731359e-01 -6.63280336e-02  8.00689199e-01
 4.35731359e-01 -6.63280336e-02  0.00000000e+00
 1.12397445e-01 -3.08164147e-02 -4.55876912e-01
-4.70412393e-01 -8.45151740e-02  1.65228126e-08
-3.59367258e-01  3.05881315e-02  5.55172536e-01
 8.36472139e-02  9.25616234e-02 -1.31475915e-08
 4.32798682e-01  5.62683045e-02  6.67739824e-01
 4.32798682e-01  5.62683045e-02  0.00000000e+00
TS 0  1.35100000e+00
 6.69892428e-01 -1.35063031e-01  6.55233492e-01
 6.69892428e-01 -1.35063031e-01  0.00000000e+00
 8.70058425e-02  1.94558350e-01  4.31545836e-01
-1.47420882e-01  3.32041416e-02  4.71108076e-09
 6.19897358e-02 -7.47405457e-02  7.23080611e-01
 9.30373771e-03 -5.29567197e-02  4.73618393e-10
 5.54882504e-01  5.38508899e-02  1.27553124e-01
 5.54882504e-01  5.38508899e-02  0.00000000e+00
TS 0  1.40100000e+00
 8.44915231e-01 -1.81712029e-01  3.72585075e-01
 8.44915231e-01 -1.81712029e-01  0.00000000e+00
 8.41640287e-03  3.55856508e-01  1.59139519e+00
 2.61063141e-01  1.71944427e-01  5.54991365e-10
 4.77628191e-01 -1.77829033e-01  8.48746636e-01
