Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	       4600.0000000000 	          0.0100000000 	        -0.0000000001 	          0.0100000001 	         0.0000711181
 1543	       4700.0000000000 	          0.0100000000 	        -0.0000000002 	          0.0100000002 	         0.0000706557
 1543	       4800.0000000000 	          0.0100000000 	        -0.0000000003 	          0.0100000003 	         0.0000702067
 1543	       4900.0000000000 	          0.0100000000 	        -0.0000000005 	          0.0100000005 	         0.0000697705
 1543	       5000.0000000000 	          0.0100000000 	        -0.0000000007 	          0.0100000007 	         0.0000693463
 1543	       5100.0000000000 	          0.0100000000 	        -0.0000000011 	          0.0100000011 	         0.0000689337
 1543	       5200.0000000000 	          0.0100000000 	        -0.0000000016 	          0.0100000016 	         0.0000685321
 1543	       5300.0000000000 	          0.0100000000 	        -0.0000000022 	          0.0100000022 	         0.0000681410
 1543	       5400.0000000000 	          0.0100000000 	        -0.0000000030 	          0.0100000030 	         0.0000677599
 1543	       5500.0000000000 	          0.0100000000 	        -0.0000000039 	          0.0100000039 	         0.0000673884
 1543	       5600.0000000000 	          0.0100000000 	        -0.0000000051 	          0.0100000051 	         0.0000670260
 1543	       5700.0000000000 	          0.0100000000 	        -0.0000000065 	          0.0100000065 	         0.0000666725
 1543	       5800.0000000000 	          0.0100000000 	        -0.0000000080 	          0.0100000080 	         0.0000663273
 1543	       5900.0000000000 	          0.0100000000 	        -0.0000000099 	          0.0100000099 	         0.0000659903
 1543	       6000.0000000000 	          0.0100000000 	        -0.0000000123 	          0.0100000123 	         0.0000656609
 1543	       6100.0000000000 	          0.0100000000 	        -0.0000000156 	          0.0100000156 	         0.0000653391
 1543	       6200.0000000000 	          0.0100000000 	        -0.0000000208 	          0.0100000208 	         0.0000650243
 1543	       6300.0000000000 	          0.0100000000 	        -0.0000000297 	          0.0100000297 	         0.0000647165
 1543	       6400.0000000000 	          0.0100000000 	        -0.0000000451 	          0.0100000451 	         0.0000644153
 1543	       6500.0000000000 	          0.0100000000 	        -0.0000000718 	          0.0100000718 	         0.0000641204
 1543	       6600.0000000000 	          0.0100000000 	        -0.0000001165 	          0.0100001165 	         0.0000638317
 1543	       6700.0000000000 	          0.0100000000 	        -0.0000001883 	          0.0100001883 	         0.0000635489
